salary,work_accident,satisfaction_level,time_spend_company,average_montly_hours,left
high,0,0.52,3,234,0
medium,0,1.0,3,264,0
medium,1,0.69,5,262,0
medium,1,0.48,3,223,0
low,0,0.69,3,225,0
low,0,0.7,5,176,0
medium,0,0.8,2,136,0
low,0,0.29,4,117,0
medium,0,0.23,6,238,0
low,0,0.91,3,262,0
medium,0,0.6,2,268,0
medium,0,0.71,3,138,0
medium,0,0.89,3,189,0
medium,0,0.9,6,259,0
low,0,0.97,2,265,0
medium,0,0.38,3,112,0
medium,1,0.63,3,167,0
low,0,0.75,2,272,0
medium,0,0.77,3,217,0
low,0,0.91,4,259,0
medium,0,0.76,2,141,0
medium,0,0.75,2,229,0
low,0,0.39,3,160,1
low,0,0.2,4,149,0
high,0,0.39,3,185,0
medium,0,0.45,3,143,1
high,0,0.76,2,168,0
medium,0,0.65,3,245,0
medium,0,0.76,3,187,0
medium,1,0.83,2,268,0
high,0,0.39,2,131,0
low,0,0.65,3,207,0
low,1,0.91,2,167,0
medium,0,0.23,3,220,0
medium,0,0.52,2,253,0
low,0,0.99,3,215,0
medium,0,0.26,4,99,0
low,0,0.39,3,127,1
low,1,0.74,3,190,0
medium,1,0.92,3,261,0
medium,0,0.57,2,151,0
medium,0,0.7,3,211,0
medium,0,0.81,2,247,0
medium,0,0.61,3,198,0
medium,0,0.11,4,248,1
medium,0,0.11,4,299,1
medium,0,0.79,2,217,0
low,0,0.36,3,134,1
medium,0,0.24,5,237,0
medium,0,0.13,4,227,0
medium,0,0.88,3,228,0
medium,0,0.89,3,167,0
medium,0,0.83,2,261,0
medium,1,0.79,4,208,0
medium,0,0.38,3,146,1
low,1,0.44,2,183,0
medium,1,0.66,3,237,0
medium,0,0.45,3,145,1
low,0,0.96,3,178,0
low,0,0.43,3,136,1
low,0,0.92,2,139,0
high,0,0.58,7,206,0
low,1,0.34,6,257,0
medium,0,0.49,3,246,0
medium,0,0.33,3,163,0
low,0,0.4,3,145,1
high,0,0.72,5,257,1
medium,0,0.58,3,202,0
low,0,0.83,5,254,1
high,0,0.71,2,208,0
high,0,0.52,4,232,0
low,0,0.32,4,266,0
low,0,0.79,5,261,1
low,1,0.87,2,175,0
low,0,0.72,5,234,1
medium,1,0.92,5,238,0
medium,0,0.1,5,265,1
medium,0,0.4,3,137,1
low,0,0.6,6,109,0
low,0,0.65,3,205,0
medium,0,0.8,3,213,0
medium,0,0.42,3,143,1
medium,0,0.21,4,144,0
medium,0,0.17,3,213,0
medium,1,0.7,3,139,0
medium,0,0.67,2,167,0
low,0,0.87,3,144,0
low,1,0.81,2,227,0
medium,1,0.25,4,186,0
medium,0,0.1,5,244,1
low,0,0.55,5,226,0
low,0,0.96,3,241,0
low,1,0.57,3,222,0
low,0,0.88,3,179,0
medium,0,0.55,2,218,0
low,0,0.69,2,206,0
medium,0,0.88,3,248,0
low,0,0.53,3,147,0
medium,0,0.1,4,247,1
low,0,0.82,2,173,0
medium,0,0.95,4,254,0
medium,0,0.94,8,176,0
medium,0,0.73,2,139,0
medium,0,0.86,4,235,0
